from,to,weight,season
Mainz,1,50,2021
1,Deutschland,,
Nuernberg,33,3,2019
33,Deutschland,,
Stuttgart II,42,0,2021
42,Deutschland,,
Arsenal,5,30,2022
5,Griechenland,,
Hannover,2,40,2020
2,Deutschland,,
2,Usbekistan,,
Iwata,37,1,2021
37,Japan,,
Zagreb,24,60,2018
24,Kroatien,,
24,Deutschland,,
Freiburg,15,13,2020
15,Deutschland,,
Anderlecht,23,18,2017
23,Belgien,,
23,DR Kongo,,
Truiden,3,17,2020
3,Japan,,
Kiel,16,8,2019
16,Deutschland,,
Juventus,32,15,2021
32,Frankreich,,
32,Komoren,,
Chelsea,6,4,2019
6,England,,
6,DR Kongo,,
Monaco,8,"17,5",2021
8,Frankreich,,
8,Martinique,,
Koeln,28,0,2019
28,Daenemark,,
28,Ghana,,
Paris,14,80,2019
14,DR Kongo,,
Bielefeld,30,25,2018
30,Deutschland,,
30,Italien,,
Augsburg,11,5,2017
11,Deutschland,,
Sandhausen,20,30,2019
20,Deutschland,,
Cordoba,31,17,2019
31,Deutschland,,
31,Argentinien,,
Stuttgart U19,25,0,2020
25,Deutschland,,
Fenerbahce,34,0,2021
34,Tuerkei,,
Wolfsburg,10,0,2018
10,Deutschland,,
10,Benin,,
Paris SG,7,0,2019
7,Frankreich,,
7,Elfenbeinkueste,,
Paderborn,22,25,2021
22,Deutschland,,
Admira Wacker,9,"17,5",2019
9,Oesterreich,,
9,Serbien,,
Lissabon,18,5,2021
18,Portugal,,
Wolfsburg,17,0,2021
17,Aegypten,,
17,Kanada,,
Vejle,19,45,2021
19,Daenemark,,
19,Afghanistan,,
Stuttgart U19,50,0,2021
50,Frankreich,,
50,Kamerun,,
Stuttgart II,44,0,2021
44,Niederlande,,
44,Sierra Leone,,
